Class,CBO,DIT,LCOM,NOC,RFC,WMC,OCavg,CLOC,LOC,CLOC/LOC
org.jfree.chart.urls.XYZURLGenerator,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.util.AttrStringUtils,5,1,2,0,33,32,2,82,256,0.3203125
org.jfree.chart.util.DefaultShadowGenerator,7,1,1,0,30,28,2.15,91,241,0.377593361
org.jfree.chart.util.DirectionalGradientPaintTransformer,1,1,1,0,16,10,5,42,86,0.488372093
org.jfree.chart.util.ExportUtils,2,1,4,0,24,8,1.33,64,159,0.402515723
org.jfree.chart.util.GradientPaintTransformType,10,n/a,2,n/a,2,0,n/a,7,13,0.538461538
org.jfree.chart.util.GradientPaintTransformer,n/a,n/a,n/a,n/a,1,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.util.PaintAlpha,1,1,1,0,57,27,3.38,191,309,0.618122977
org.jfree.chart.util.ShadowGenerator,n/a,n/a,n/a,n/a,3,n/a,#N/A,#N/A,#N/A,#N/A
org.jfree.chart.util.StandardGradientPaintTransformer,19,1,1,0,22,16,2.29,50,123,0.406504065
